id	id_mv	date	mvalue
1	2072	2018-12-16	100000000
2	3137	2018-12-16	100000000
3	2908	2018-12-16	300000000
4	1100	2018-12-10	400000000
5	2532	2018-12-14	400000000
6	994	2018-12-07	100000000
7	1718	2018-12-05	100000000
8	2604	2018-12-04	100000000
9	2363	2018-12-23	400000000
10	535	2018-12-23	100000000
11	303	2018-12-24	100000000
12	770	2018-12-28	100000000
13	2395	2018-12-30	300000000
14	1700	2019-01-04	300000000
15	854	2019-01-04	100000000
16	1098	2019-01-08	400000000
17	2296	2019-01-09	600000000
18	2582	2019-01-13	600000000
19	1881	2019-01-20	400000000
20	2194	2019-01-26	200000000
21	2129	2019-01-26	500000000
22	1423	2019-01-30	100000000
23	2248	2019-02-04	100000000
24	2099	2019-02-07	200000000
25	2795	2019-02-08	100000000
26	3215	2019-02-10	200000000
27	1597	2019-02-10	500000000
28	1699	2019-02-14	500000000
29	1963	2019-02-23	300000000
30	3095	2019-02-24	100000000
31	3243	2019-02-25	100000000
32	2526	2019-02-26	100000000
33	822	2019-02-26	100000000
34	244	2019-03-03	3300000000
35	2606	2019-03-03	100000000
36	3603	2019-03-04	100000000
37	2582	2019-03-09	700000000
38	2599	2019-03-14	200000000
39	2908	2019-03-16	400000000
40	638	2019-03-21	100000000
41	2414	2019-04-05	200000000
42	4127	2019-04-07	100000000
43	3976	2019-04-08	100000000
44	2926	2019-04-09	100000000
45	1127	2019-04-12	100000000
46	4153	2019-04-14	100000000
47	2532	2019-04-14	500000000
48	2296	2019-04-14	700000000
49	4127	2019-04-16	200000000
50	4153	2019-04-24	200000000
51	675	2019-04-28	100000000
52	129	2019-04-29	100000000
53	2403	2019-05-01	100000000
54	1109	2019-05-02	300000000
55	4127	2019-05-06	300000000
56	4180	2019-05-08	100000000
57	2582	2019-05-11	800000000
58	3215	2019-05-13	300000000
59	974	2019-05-15	100000000
60	2393	2019-05-15	100000000
61	4153	2019-05-18	300000000
62	2412	2019-05-19	300000000
63	2533	2019-05-19	100000000
64	4173	2019-05-21	100000000
65	1699	2019-05-23	600000000
66	2129	2019-05-26	600000000
67	2363	2019-05-26	500000000
69	508	2019-05-29	200000000
70	2270	2019-06-04	100000000
71	4139	2019-06-04	100000000
72	4127	2019-06-07	400000000
73	268	2019-06-07	400000000
74	2480	2019-06-08	300000000
75	1887	2019-06-13	400000000
76	1616	2019-06-20	400000000
77	4153	2019-06-22	400000000
78	2857	2019-06-27	100000000
79	581	2019-06-30	300000000
80	2908	2019-07-11	500000000
81	3002	2019-07-15	100000000
82	58	2019-07-20	100000000
83	4127	2019-07-24	500000000
84	1700	2019-07-26	400000000
85	821	2019-07-28	400000000
86	2582	2019-07-30	900000000
87	3063	2019-07-31	100000000
88	3550	2019-08-03	100000000
89	1421	2019-08-03	100000000
90	1100	2019-08-09	500000000
91	2296	2019-08-09	800000000
92	2120	2019-08-10	100000000
93	4153	2019-08-10	500000000
94	244	2019-08-10	3400000000
95	578	2019-08-18	200000000
96	2322	2019-08-23	400000000
97	3137	2019-08-29	200000000
98	245	2019-09-01	100000000
99	1597	2019-09-10	600000000
100	1699	2019-09-11	700000000
101	506	2019-09-23	200000000
102	4173	2019-09-23	200000000
103	1881	2019-09-25	500000000
104	4127	2019-09-28	600000000
106	4978	2019-10-14	100000000
107	4680	2019-10-15	100000000
108	3603	2019-10-15	200000000
109	979	2019-10-09	100000000
110	2605	2019-10-24	100000000
113	2129	2019-10-30	700000000
118	4153	2019-11-03	600000000
119	2700	2019-11-03	200000000
120	5004	2019-11-04	100000000
121	2582	2019-11-11	1000000000
122	4160	2019-11-12	100000000
123	1635	2019-11-13	300000000
124	2440	2019-11-21	100000000
125	4139	2019-11-23	200000000
126	2371	2019-12-10	300000000
127	3156	2019-12-11	100000000
128	3215	2019-12-11	400000000
129	4534	2019-12-22	100000000
130	795	2019-12-23	200000000
131	2363	2019-12-25	600000000
132	4127	2020-01-04	700000000
133	2	2020-01-04	100000000
134	860	2020-01-08	300000000
135	2296	2020-01-09	900000000
136	5052	2020-01-10	100000000
137	2908	2020-01-11	600000000
138	541	2020-01-12	100000000
139	2395	2020-01-14	400000000
140	1885	2020-01-22	500000000
141	244	2020-01-25	3500000000
142	4030	2020-02-15	100000000
143	4153	2020-02-21	700000000
144	1943	2020-02-22	300000000
145	1699	2020-02-24	800000000
146	5803	2020-02-28	100000000
147	1610	2020-03-02	100000000
148	1916	2020-03-14	100000000
149	122	2020-03-16	100000000
150	2582	2020-03-24	1100000000
151	5473	2020-03-25	100000000
152	5830	2020-03-25	100000000
153	5053	2020-03-27	200000000
154	2098	2020-03-30	200000000
155	4788	2020-03-31	100000000
156	5672	2020-03-31	100000000
157	252	2020-04-01	1300000000
158	2097	2020-04-01	100000000
159	4770	2020-04-05	100000000
160	4978	2020-04-09	200000000
161	2967	2020-04-10	100000000
162	5264	2020-04-17	100000000
163	785	2020-04-18	200000000
164	4127	2020-04-19	800000000
165	5887	2020-04-21	100000000
166	1886	2020-04-24	200000000
167	244	2020-05-04	3600000000
168	1887	2020-05-07	500000000
169	1963	2020-05-09	400000000
170	2599	2020-05-17	300000000
171	4173	2020-05-22	300000000
172	2532	2020-05-24	700000000
173	1871	2020-05-30	100000000
174	2296	2020-05-31	1000000000
175	4153	2020-06-03	800000000
176	1098	2020-06-05	500000000
177	2950	2020-06-06	100000000
178	5860	2020-06-07	100000000
179	2805	2020-06-10	100000000
180	2129	2020-06-11	800000000
181	4510	2020-06-13	100000000
182	6281	2020-06-14	100000000
183	2412	2020-06-18	400000000
184	1700	2020-06-19	500000000
185	2122	2020-06-19	100000000
186	3976	2020-06-19	200000000
187	5803	2020-06-20	200000000
188	1616	2020-06-22	500000000
189	2480	2020-06-27	400000000
190	6410	2020-06-27	100000000
191	2582	2020-06-28	1200000000
192	1919	2020-07-03	100000000
193	6410	2020-07-03	200000000
194	6237	2020-07-04	100000000
195	4127	2020-07-07	900000000
196	6006	2020-07-08	100000000
197	1881	2020-07-09	600000000
198	1699	2020-07-10	900000000
199	1019	2020-07-14	200000000
200	2908	2020-07-16	700000000
201	6410	2020-07-17	300000000
202	244	2020-07-18	3700000000
203	2363	2020-07-20	700000000
204	6763	2020-07-21	100000000
205	4834	2020-07-25	100000000
206	3215	2020-07-27	500000000
207	927	2020-08-06	100000000
208	1579	2020-08-07	400000000
209	6410	2020-08-08	400000000
210	1598	2020-08-09	100000000
211	5317	2020-08-12	100000000
212	451	2020-08-14	100000000
213	2613	2020-08-16	200000000
214	3603	2020-08-19	300000000
215	6763	2020-08-20	200000000
216	4153	2020-08-21	900000000
217	7120	2020-08-22	100000000
218	6411	2020-08-22	100000000
219	7120	2020-08-25	200000000
220	6353	2020-08-27	100000000
221	7198	2020-08-29	100000000
222	4127	2020-09-02	1000000000
223	2582	2020-09-05	1300000000
224	7120	2020-09-05	300000000
225	6410	2020-09-07	500000000
226	7198	2020-09-07	200000000
227	5887	2020-09-08	200000000
228	6763	2020-09-20	300000000
229	2672	2020-09-21	200000000
230	7120	2020-09-25	400000000
231	7098	2020-09-27	100000000
232	244	2020-09-30	3800000000
233	7198	2020-10-01	300000000
234	4528	2020-10-02	200000000
235	2296	2020-10-04	1100000000
236	5004	2020-10-04	200000000
237	7390	2020-10-05	100000000
238	2883	2020-10-07	100000000
239	1699	2020-10-12	1000000000
240	4139	2020-10-14	300000000
241	5830	2020-10-15	200000000
242	7120	2020-10-19	500000000
243	2604	2020-10-19	200000000
244	6410	2020-10-21	600000000
245	4153	2020-10-24	1000000000
246	6281	2020-10-24	200000000
247	7390	2020-10-25	200000000
248	2532	2020-10-31	800000000
249	6763	2020-11-03	400000000
250	2129	2020-11-03	900000000
251	6146	2020-11-05	100000000
252	7726	2020-11-06	100000000
253	4127	2020-11-09	1100000000
254	4068	2020-11-10	100000000
255	1100	2020-11-11	600000000
256	7547	2020-11-11	100000000
257	6430	2020-11-15	100000000
258	5046	2020-11-15	100000000
259	7198	2020-11-16	400000000
260	7120	2020-11-16	600000000
261	5473	2020-11-17	200000000
262	5860	2020-11-19	200000000
263	5208	2020-11-21	100000000
264	7992	2020-11-22	100000000
265	2582	2020-11-22	1400000000
266	7140	2020-11-23	100000000
267	2363	2020-11-30	800000000
268	2908	2020-12-02	800000000
269	771	2020-12-02	100000000
270	7273	2020-12-02	100000000
271	4978	2020-12-07	300000000
272	5061	2020-12-09	100000000
273	2607	2020-12-10	200000000
274	5803	2020-12-12	300000000
275	7478	2020-12-15	100000000
276	5264	2020-12-15	200000000
277	7120	2020-12-17	700000000
278	6410	2020-12-19	700000000
279	7992	2020-12-19	200000000
280	244	2020-12-20	3900000000
281	2127	2020-12-23	100000000
282	7390	2020-12-24	300000000
283	1887	2020-12-28	600000000
284	1700	2020-12-29	600000000
285	6763	2021-01-05	500000000
286	7976	2021-01-07	100000000
287	256	2021-01-08	300000000
288	7726	2021-01-10	200000000
289	4524	2021-01-11	100000000
290	4153	2021-01-13	1100000000
291	3215	2021-01-14	600000000
292	821	2021-01-16	500000000
293	2414	2021-01-17	300000000
294	4673	2021-01-19	100000000
