id	id_parent	name	kname	original_name	name_aka	vtype	tags	vlink	id_artist	id_original_artist	releasedate	publishedon	views	likes	dislikes	lastupdate	recentviews	recentlikes	awards	regionlocked
9540	1708	Breathless		ASTRO 아스트로 - 숨가빠(Breathless) DANCE PRACTICE		alternate	d	_jJNJ2rZovg	20	0	2016-07-19	2016-07-19 00:00:00	3837114	99858	406	2022-06-17 00:00:24	260	5	0	
9541	3914	All Night		ASTRO 아스트로 - All Night(전화해) DANCE PRACTICE		alternate	d	CAt5ShbMffA	20	0	2019-01-21	2019-01-21 00:00:00	2908215	165974	286	2022-06-17 11:32:09	936	17	0	
9542	2867	Baby		ASTRO 아스트로 - Baby M/V (Performance Ver.)		alternate		xG2t7AdSAhQ	20	0	2017-06-06	2017-06-06 00:00:00	2443968	103298	361	2022-06-17 12:16:14	593	18	0	
9543	3914	All Night		[릴레이댄스] 아스트로(ASTRO) - All Night(전화해)		alternate	rv	I6tFMupmYbs	20	0	2019-01-21	2019-01-21 00:00:00	3000543	155495	420	2022-06-17 12:46:12	509	16	0	JP
9544	2867	Baby		[릴레이댄스] 아스트로(ASTRO) - Baby		alternate	rv	d_vroHep_8I	20	0	2017-06-11	2017-06-11 00:00:00	1573878	72739	246	2022-06-17 12:02:14	203	6	0	
9545	5298	Blue flame		[릴레이댄스] 아스트로 (ASTRO) - Blue Flame		alternate	d	7xrQR-pGmXc	20	0	2019-11-22	2019-11-22 00:00:00	1987142	122062	224	2022-06-17 12:02:14	444	12	0	
9546	2320	Crazy Sexy Cool		[릴레이댄스] 아스트로(ASTRO) - 니가 불어와(Crazy Sexy Cool)		alternate	rv	E-TPWVEZJgI	20	0	2017-11-06	2017-11-06 00:00:00	1878487	87103	236	2022-06-17 12:02:14	170	5	0	
9547	6131	Knock		ASTRO 아스트로 - Knock(널찾아가) DANCE PRACTICE		alternate	d	-y7aXFRJESg	20	0	2020-05-07	2020-05-07 00:00:00	3106364	158857	340	2022-06-17 00:46:13	1526	34	0	CN
9548	6131	Knock				alternate	h	_HfmAmyg6hw	20	0	2020-05-06	2020-05-06 00:00:00	1174468	61786	159	2022-06-17 12:03:10	587	12	0	
9549	5298	Blue flame		ASTRO 아스트로 - Blue Flame SPECIAL DANCE PRACTICE		alternate	d	JyCqsQ-BitY	20	0	2019-12-02	2019-12-02 00:00:00	1177599	89612	154	2022-06-17 12:15:41	290	13	0	
9550	5298	Blue flame		ASTRO 아스트로 - Blue Flame DANCE PRACTICE		alternate	d	ediciKVO3Yw	20	0	2020-06-29	2020-06-29 00:00:00	2064756	118907	239	2022-06-16 22:31:56	1412	30	0	
9551	6131	Knock		[릴레이댄스] 아스트로(ASTRO) - Knock(널 찾아가) (4K)		alternate	rv	bmaMHQDw-Cw	20	0	2020-05-16	2020-05-16 00:00:00	1746089	120747	211	2022-06-16 22:33:00	428	17	0	
9552	7389	Bad idea (Moonbin + Sanha)		ASTRO 아스트로 문빈&산하 - Bad Idea DANCE PRACTICE		alternate	d	B92JWCX2dKE	20	0	2020-09-16	2020-09-16 00:00:00	727743	62579	98	2022-06-16 20:47:11	386	13	0	
9553	5298	Blue flame		[4K] 아스트로 (ASTRO) - BLUE FLAME | Performance video | MOVE REC		alternate	d	pHm_KU7vt2U	20	0	2019-11-21	2019-11-21 00:00:00	787373	53411	104	2022-06-17 11:46:06	124	7	0	
9554	7389	Bad idea (Moonbin + Sanha)		[릴레이댄스] 아스트로(ASTRO) 문빈&산하 - Bad Idea (4K)		alternate	rv	SSSVotIEyoU	20	0	2020-09-14	2020-09-14 00:00:00	951626	78380	156	2022-06-17 12:02:39	132	0	0	TW
9555	0	Rainbow Falling		차은우 (ASTRO) - Rainbow Falling (내 아이디는 강남미인 OST)		main	o	W2mVe6hKhS4	831	0	2018-08-31	2018-08-31 00:00:00	9050870	236696	1133	2022-06-17 07:03:14	2852	32	0	
9556	0	Aloha		EUNWOO LIKE		main	c	8S-zkaCjCXM	831	939	2020-07-04	2020-07-04 00:00:00	4054963	398511	874	2022-06-17 00:32:17	1175	31	0	
9557	0	Together		[MV] Cha EunWoo(차은우 (ASTRO)) - Together (탑매니지먼트 OST) Top Management OST		main	o	xkO1-xRRlxU	831	0	2018-11-17	2018-11-17 00:00:00	1056245	34435	138	2022-06-17 11:47:34	135	2	0	
9558	0	When You Call My Name		ASTRO 아스트로 - 내 이름을 부를 때 DANCE PRACTICE		main	d	5U44TYhLHMw	20	0	2020-05-10	2020-05-10 00:00:00	1162422	70584	114	2022-06-17 11:30:41	425	7	0	
9559	7389	Bad idea (Moonbin + Sanha)		ASTRO 아스트로 문빈&산하 - Bad Idea M/V(Performance Ver.)		alternate		vXD7CSiwwC4	20	0	2020-09-25	2020-09-25 00:00:00	457039	45903	94	2022-06-16 21:15:45	233	3	0	
9560	0	That's Okay		YOON SANHA | '괜찮아도 괜찮아(D.O.)' Cover by 산하		main	c	uutM401ofOw	20	500	2021-01-26	2021-01-26 00:00:00	835746	110023	174	2022-06-17 09:00:45	290	10	0	
9561	0	Like A King		[M/V] 진진 (ASTRO) - Like a King (Feat. SUPERBEE, myunDo) (Prod. Dok2)		main		UKbwc8lCt6k	1463	0	2018-05-23	2018-05-23 00:00:00	1090455	91859	233	2022-06-17 11:48:07	33	0	0	CA,KR,PR,US
9562	9561	Like a King (Jinjin)		[FM201.8] 진진(ASTRO) - Like a King (Feat.SUPERBEE, myunDo) (Prod.Dok2) M/V		duplicate		dtW9Xm7Tdlc	20	0	2018-05-23	2018-05-23 00:00:00	483966	46438	116	2022-06-16 21:00:15	116	4	0	
9563	0	I Don't Miss U		[MV] woo!ah!(우아!) _ I Don’t Miss U		main		Ne4okV5MqPs	630	0	2021-01-02	2021-01-02 00:00:00	1723847	34825	352	2022-06-17 12:45:36	485	14	0	
9564	0	Maknae On Top	막내온탑	[Stray Kids : SKZ-PLAYER] I.N "막내온탑" (Feat. Bang Chan, Changbin)		main		SjKARrJwqzE	288	0	2021-01-15	2021-01-15 00:00:00	27876238	1515969	4145	2022-06-17 05:30:10	49709	1646	0	KR
9565	0	Free Flight		Dvwn (다운) '자유비행' Official MV		main		IFYvVDxYmTg	673	0	2021-01-12	2021-01-12 00:00:00	3689518	371146	2657	2022-06-16 21:31:08	484	21	0	
9566	0	Hurt		양다일 (Yang Da Il) '아파 (Hurt)' M/V		main		HCehClb2KQQ	427	0	2021-01-22	2021-01-22 00:00:00	21733	1156	33	2022-06-17 09:31:37	8	0	0	
9567	0	One Summer		[MV] Yang Da Il(양다일), WENDY(웬디) _ One Summer(그해 여름)		main		cCYBraZWmYs	832	0	2018-07-02	2018-07-02 00:00:00	2379422	99539	680	2022-06-17 11:46:07	158	2	0	CA,KR,PR,TH,US
9568	0	And Then		[MV] Yang Da Il(양다일), Hyorin(효린) _ And Then(그리워)		main		Wk6YkCYiDQo	833	0	2016-08-30	2016-08-30 00:00:00	1675355	14514	148	2022-06-17 11:47:11	47	0	0	CA,KR,PR,TH,US
9569	0	Stay With You		양다일 (Yang Da Il) 'Stay With You' OFFICIAL M/V		main		NMA-CnX_SfM	427	0	2018-12-04	2018-12-04 00:00:00	2040	34	0	2022-06-16 17:32:27	4	0	0	CA,KR,PR,TH,US
9570	0	Forever	약속	aespa 에스파 'Forever (약속)' MV		main		wog1R1d4zls	707	0	2021-02-05	2021-02-05 00:00:00	49197887	1390123	66794	2022-06-17 09:16:12	9008	292	0	
9571	0	Wrap Me In Plastic	아랍 미 인 플라스틱	모모랜드(MOMOLAND) X 크로망스(CHROMANCE) 'Wrap Me In Plastic' M/V		main		ReJH1psuB1Q	267	0	2021-02-05	2021-02-05 00:00:00	30088809	1074984	19422	2022-06-17 08:45:07	27331	450	0	
9572	9571	Wrap Me In Plastic (CHROMANCE)		MOMOLAND x CHROMANCE – Wrap Me In Plastic (Official Dance Video)		alternate	d	TagfVi-WHU0	267	0	2021-02-05	2021-02-05 00:00:00	19947861	407538	9959	2022-06-17 06:32:47	23688	268	0	
9573	9465	Good Girl		[4K] ❤️현아-GOOD GIRL❤️  | Choreography + Commentaryㅣ딩고뮤직ㅣDingo Music		alternate	d	RBtRfMf4RDI	93	0	2021-02-05	2021-02-05 00:00:00	136811	6799	37	2022-06-17 14:01:19	6	0	0	
9574	0	A Glass of Soju				main	c	7L6nZH_YtE0	255	132	2021-02-05	2021-02-05 00:00:00	1650686	24451	279	2022-06-17 09:00:11	582	3	0	
9575	0	Round & Round		woo!ah! (우아!) – '빙빙빙 (Round&Round)' Choreography Video		main		P3xlC5lBQLk	630	0	2021-02-06	2021-02-06 00:00:00	381438	17855	149	2022-06-17 13:47:38	448	18	0	IO,KP,SS
9576	9570	Forever		aespa 에스파 'Forever (약속)' The Performance Stage (Cozy Winter Cabin Ver.)		alternate		8UnLnqQnZAM	707	0	2021-02-06	2021-02-06 00:00:00	2527592	207436	3107	2022-06-17 10:00:42	748	21	0	
9577	0	Shadow		[MV] 온유 (ONEW) - 그림자 [이별유예, 일주일 OST Part.3 (A Week Before Farewell OST Part.3)]		main	o	UWZGjf9h9xQ	392	0	2021-02-05	2021-02-05 00:00:00	196788	10272	19	2022-06-17 13:46:06	25	0	0	
9578	0	Doesn't matter		[MV] Car, the garden(카더가든) _ Doesn't matter(아무렇지 않은 사람)		main		B22UWVJUeBM	700	0	2021-01-28	2021-01-28 00:00:00	296958	4616	53	2022-06-16 22:31:03	240	2	0	
9579	0	You Are My Star		[MV] 우디 (Woody) - You Are My Star [도도솔솔라라솔 OST Part.16 (Do Do Sol Sol La La Sol OST Part.16)]		main	o	sSNHwbFxFCU	489	0	2020-11-26	2020-11-26 00:00:00	86677	1424	5	2022-06-16 18:00:15	23	0	0	
9580	0	Dream		[MV] JAMIE (제이미) - 상상한 꿈 [스타트업 OST Part.13 (START-UP OST Part.13)]		main	o	qMKMKLFLzW4	106	0	2020-11-22	2020-11-22 00:00:00	960882	14225	105	2022-06-17 12:32:09	379	5	0	
9581	0	Get To You		카더가든 Car, the garden - 그날,우리 Get To You Official M/V		main		8ebPs7hKrc4	700	0	2020-11-18	2020-11-18 00:00:00	133113	2135	10	2022-06-16 17:45:10	104	0	0	
9582	0	Simple words		[MV] Car, the garden(카더가든) _ Simple words(간단한 말) (Yellow OST Part.3)		main	o	5q8pwb3gUXY	700	0	2017-10-22	2017-10-22 00:00:00	190229	5174	49	2022-06-16 17:48:01	23	0	0	
9583	0	To Say Sorry	미안하다는 말	[MV] 카더가든(Car the garden) - 미안하다는 말 [초면에 사랑합니다 OST Part.4(My Secretary Life OST Part.4)]	Saying Sorry;A Word of Apology;Saying I'm Sorry	main	o	6nal_Lyxs40	700	0	2019-05-14	2019-05-14 00:00:00	172389	1811	24	2022-06-16 18:00:16	25	0	0	
9584	0	Always Remember		[MV] Sondia - Always Remember [도도솔솔라라솔 OST Part.10 (Do Do Sol Sol La La Sol OST Part.10)]		main	o	vTb6_AtXqmA	554	0	2020-11-05	2020-11-05 00:00:00	483023	7858	32	2022-06-16 20:47:13	497	2	0	
9585	0	First Love		[MV] Sondia - 첫사랑 [어쩌다 발견한 하루 OST Part.3 (Extra-ordinary You OST Part.3)]		main	o	XH1EXDHVG9s	554	0	2019-10-16	2019-10-16 00:00:00	8857309	167509	1020	2022-06-17 07:15:35	4530	53	0	
9586	0	Our Souls at Night		[MV] Sondia - 우리의 밤 [이태원 클라쓰 OST Part.4 (ITAEWON CLASS OST Part.4)]		main	o	1S34b4IfNSo	554	0	2020-02-11	2020-02-11 00:00:00	5521535	34849	443	2022-06-16 23:31:02	2299	12	0	
9587	0	The Story That Has Never Been Told	한 번도 하지 못한 이야기	[MV] Sondia - 한 번도 하지 못한 이야기 [어쩌다 발견한 하루 OST Part.6 (Extra-ordinary You OST Part.6)]	The Story That Never Told;A Story Never Told	main	o	cTHbuS5lsN0	554	0	2019-11-06	2019-11-06 00:00:00	2690373	41214	212	2022-06-17 12:31:36	792	17	0	
