id_artist	id_subgroup	startyear	endyear	roles
255	386	2012	2012	V
255	483	2019	2019	V
256	688	2020	0	R
259	751	2020	0	
259	1240	2021	2021	
259	659	2020	2020	R
260	96	2010	0	VL
261	111	2010	2021	VD
261	207	2003	2010	VD
262	1515	2017	2017	
262	2822	2020	2020	V
264	40	2013	0	RL
268	219	2007	2017	VDI
271	1242	2018	2018	
273	176	2016	0	
273	138	2014	0	VL
273	801	2017	2017	
273	1261	2015	2015	
273	1262	2021	0	
273	1368	2017	2017	
273	1429	2020	2020	
276	292	2018	0	RL
276	335	2018	2018	R
277	1306	2015	2015	
280	1340	2020	2020	
281	192	2016	0	
281	142	2010	2017	VM
281	448	2017	0	
285	892	2018	2018	
287	122	2015	0	
287	144	2016	0	
287	138	2014	0	VRM
287	429	2018	0	
287	688	2020	0	M
289	118	2016	0	
289	176	2016	0	
289	138	2014	0	VD
289	1423	2021	2021	
289	2768	2016	0	V
290	324	2018	0	
291	310	2017	0	
296	144	2016	0	
296	294	2018	0	
296	138	2014	0	RD
296	1262	2021	0	
296	1348	2021	2021	
302	1343	2017	2017	
303	219	2007	2017	VRI
304	444	2016	0	
306	76	2015	2021	V
307	9	2010	2016	VD
307	398	2018	2018	V
307	399	2017	2017	V
307	1153	2018	2018	V
307	10	2016	2019	VD
307	147	2014	2014	V
311	310	2017	0	
312	94	2016	2017	
312	335	2018	0	
312	400	2018	0	
312	591	2020	0	
312	1131	2021	2021	
312	1511	2019	2019	
317	633	2020	0	
317	1238	2021	2021	
319	887	2020	2020	
322	1276	2021	0	
333	78	2007	2022	V
333	329	2017	0	V
333	223	2016	2016	
337	839	2021	2021	
343	754	2009	2012	
345	700	2013	0	
350	932	1997	0	
350	1522	2009	2009	
351	185	2005	2010	VRM
351	326	2016	0	RM
356	533	2019	0	
357	185	2005	2010	V
357	326	2016	0	V
361	172	2008	0	V
361	2992	2016	0	V
361	2993	2012	0	V
362	1451	2022	0	V
362	216	2016	2016	
362	165	2014	0	V
362	832	2018	2018	
362	1338	2020	0	
363	185	2005	2010	VRDL
366	31	2016	0	VR
369	278	2017	0	
369	549	2010	0	
370	2587	2022	2022	V
377	72	2014	0	
378	342	2003	0	
379	217	2014	0	VR
379	653	2016	0	
379	1332	2016	0	VR
381	1261	2015	2015	
384	545	2017	0	
388	5	2008	2010	VDl
388	793	2017	2017	
388	1029	2020	2020	
388	1271	2021	2021	
388	1484	2021	0	
390	386	2012	0	
392	172	2008	0	VL
392	986	2017	2017	
392	1089	2016	2016	
392	1346	2021	2021	
392	1419	2021	2021	
393	165	2014	0	VR
393	1257	2018	2018	
394	40	2013	0	VRD
394	2819	2015	0	R
401	252	2017	2021	VDL
401	2579	2022	0	VDL
402	193	2009	0	VDM
402	195	2013	0	VD
404	86	2017	0	
404	26	2009	2016	R
406	591	2020	0	
406	818	2020	0	
408	96	2010	0	VD
409	86	2017	0	
409	26	2009	2016	V
411	232	2016	2019	V
412	603	2011	2017	
412	232	2016	2017	VM
416	27	2013	2018	VRL
417	1529	2016	2016	
417	1530	2015	2015	
419	336	2014	0	
419	215	2012	0	V
419	269	2015	0	VL
420	38	2012	2020	VR
421	1310	2021	2021	
422	1337	2019	2019	
423	2589	2022	2022	V
425	181	2015	2015	
425	222	2016	2016	
425	483	2019	0	
425	1333	2017	2017	
427	544	2019	0	
427	832	2018	2018	
427	833	2016	2016	
427	1157	2018	2018	
428	429	2018	0	
428	527	2016	2016	
428	647	2018	0	
428	648	2018	0	
428	649	2016	0	
428	655	2017	0	
428	1172	2021	0	
428	1180	2021	0	
428	1484	2021	0	
430	651	2015	0	
432	446	2018	0	
432	1029	2020	2020	
433	527	2016	2016	
433	530	2016	2016	
433	531	2016	2016	
433	533	2019	0	
433	830	2020	2020	
433	1272	2021	0	
433	1419	2021	2021	
434	450	2000	0	
436	733	2019	0	
437	927	2017	2017	
438	444	2016	0	
443	2566	2020	0	V
445	446	2018	0	
447	448	2017	0	
449	1320	2013	2013	
453	78	2007	2022	V
453	329	2017	0	VM
453	222	2016	2016	
453	488	2018	0	
454	1066	2018	0	
456	193	2009	0	VRD
456	195	2013	0	V
460	1166	2021	2021	
461	395	2014	2021	
461	265	2017	2019	V
462	265	2017	2019	VL
463	1240	2021	2021	
463	1287	2020	2021	
464	1173	2018	0	
466	165	2014	0	VRM
466	1352	2018	2018	
468	257	2011	2013	V
470	1429	2020	2020	
471	172	2008	0	VR
475	151	2012	2022	V
475	265	2017	2019	V
476	265	2017	2019	VRD
477	180	2014	2014	
480	795	2016	0	VR
480	118	2016	0	
480	189	2005	0	VR
480	1146	2007	0	R
480	2767	2011	0	VR
480	2769	2019	0	V
484	53	2008	0	V
487	1344	2020	2020	
490	265	2017	2019	V
490	1181	2020	2020	
491	544	2019	0	
491	724	2016	2016	
492	59	2017	0	
492	94	2016	2017	
493	300	2015	0	
495	860	2018	2018	
496	168	2009	2018	VRD
500	50	2016	0	
500	61	2011	0	V
500	650	2016	0	
500	373	2012	0	V
502	61	2011	0	VR
502	785	2016	2016	
502	1255	2017	2017	
502	62	2016	0	VRDL
502	64	2012	2016	VD
504	714	2016	0	VRDL
504	901	2017	2017	
504	2585	2022	0	
504	148	2016	0	VRDL
504	150	2016	0	VRD
504	526	2019	0	VRD
507	506	2015	0	
511	265	2017	2019	VRD
511	652	2020	0	
511	2583	2021	0	V
515	968	2020	2020	
516	111	2010	0	V
516	207	2003	2010	V
519	275	2017	0	VIL
520	217	2014	0	V
523	818	2020	0	
523	1580	2022	2022	V
525	1276	2021	0	
532	65	2009	2016	VR
534	1466	2022	2022	
536	250	2017	2018	RM
536	280	2016	2018	RD
536	1313	2021	0	VRD
541	274	2017	2018	VDM
548	60	2012	2020	VL
550	227	2017	2017	
550	1284	2019	2019	
550	1350	2021	2021	
551	9	2010	2014	Vl
555	556	2015	0	
557	265	2017	2019	VD
559	96	2010	0	RD
559	97	2013	2017	VRD
570	2	2012	2019	RD
574	1253	2021	0	
575	5	2008	0	VR
576	53	2008	0	V
577	319	2017	0	
579	22	2012	2019	V
581	22	2012	2019	V
583	531	2016	2016	
583	61	2011	0	VR
583	798	2020	2020	
583	924	2018	2018	
583	373	2012	0	VR
583	505	2019	0	VR
584	265	2017	2019	VD
585	1163	2021	0	
586	1066	2018	0	
587	1437	2016	2016	
590	254	2017	0	
592	56	2014	0	V
597	384	2004	0	
598	193	2009	0	VR
598	195	2013	0	V
601	524	2018	0	
605	925	2018	0	
605	1348	2021	2021	
605	1417	2021	2021	
606	486	2019	0	
606	1337	2019	2019	
607	40	2013	0	VD
607	2819	2015	0	V
608	1438	2014	2014	
608	191	2008	0	V
609	2566	2020	0	V
612	61	2011	0	VL
612	836	2017	2017	
612	1084	2018	2018	
612	1405	2017	2017	
612	373	2012	0	VL
613	933	2002	0	
613	1280	2019	0	V
617	38	2012	0	VM
617	39	2016	0	VM
619	219	2007	2017	VIL
623	38	2012	0	VRD
623	706	2020	0	R
624	38	2012	0	VL
624	39	2016	0	VL
624	706	2020	0	VL
625	38	2012	0	V
625	39	2016	0	V
625	706	2020	0	V
626	38	2012	0	VD
626	39	2016	0	VD
627	38	2012	0	VR
627	706	2020	0	RM
631	134	2014	2021	V
634	213	2015	0	V
636	635	2020	2022	V
639	45	2015	2021	V
642	212	2014	0	VR
645	750	2019	0	VI
646	213	2015	0	R
654	655	2017	0	
654	2566	2020	0	V
660	315	2016	0	
661	143	2014	2019	V
662	961	2021	0	
662	1606	2022	2022	
666	685	2020	0	
667	1607	2017	2017	
670	841	2020	2020	
671	522	2019	2020	
671	1344	2020	2020	
671	1581	2022	0	V
674	1417	2021	2021	
675	23	2011	0	V
676	18	2011	0	VD
677	152	2015	0	VD
681	1344	2020	2020	
691	14	2012	0	VM
691	961	2021	0	
691	85	2014	2014	
710	1072	2021	0	
711	274	2017	2018	R
712	61	2011	0	
712	1442	2012	2012	
712	373	2012	0	VRD
712	526	2019	0	VRD
716	543	2012	2015	
716	1378	2021	2021	
728	925	2018	0	
730	1171	2016	2016	
730	1219	2019	0	
730	1222	2018	2018	
730	1223	2020	2020	
730	1378	2021	2021	
731	1306	2015	2015	
732	793	2017	2017	
732	1029	2020	2020	
732	1271	2021	2021	
737	793	2017	2017	
737	1029	2020	2020	
737	1171	2016	2016	
752	714	2016	0	VRD
752	148	2016	0	VRD
752	150	2016	0	VRD
752	2911	2017	2017	V
760	633	2020	0	
760	1580	2022	2022	V
761	87	2013	2017	VR
763	27	2013	2017	RD
770	272	2017	2018	
773	1451	2022	0	VD
773	294	2018	0	
773	335	2018	0	
773	165	2014	0	VD
773	656	2020	2020	V
774	335	2018	0	
774	76	2015	2021	VD
774	1470	2022	0	VD
775	50	2016	0	
776	657	2017	0	
776	764	2019	0	
776	1238	2021	2021	
777	497	2016	2016	
777	2566	2021	0	V
777	659	2020	2020	V
779	75	2012	0	
780	89	2015	0	
780	90	2014	0	
781	89	2015	0	
781	922	2019	2019	
781	1246	2014	2014	R
781	1339	2014	2017	VL
782	91	2015	0	
783	100	2014	2014	
783	1285	2014	2014	
784	101	2014	0	
786	499	2019	0	
786	423	2002	0	
787	499	2019	0	
788	121	2015	0	
789	398	2018	0	
790	399	2017	0	
790	3	2008	2014	VRM
791	651	2015	0	
792	649	2016	0	
792	1082	2018	2018	
792	1222	2018	2018	
794	795	2016	0	VR
794	413	2003	0	VM
794	1244	2021	0	V
797	798	2020	2020	
797	1350	2021	2021	
800	60	2011	2020	VD
800	801	2017	2017	
802	804	2018	2018	
802	806	2019	2019	
803	804	2018	2018	
805	806	2019	2019	
807	648	2018	0	
809	810	2017	2017	R
809	9	2010	2016	RD
809	2591	2021	2021	R
811	179	2015	0	
811	1141	2016	2016	
812	143	2014	0	V
812	300	2015	0	
812	1139	2018	0	
813	425	2010	2017	
814	488	2018	0	
815	95	2015	0	R
815	1332	2016	0	VRM
816	817	2020	0	
819	215	2012	0	V
820	215	2012	0	VDM
821	46	2009	0	VRIL
821	823	2016	2016	
822	823	2016	2016	
822	1440	2021	2021	
828	1606	2022	2022	
831	20	2016	0	V
835	836	2017	2017	
838	331	2013	0	VR
840	54	2015	2022	VI
840	841	2020	2020	
840	1223	2020	2020	
844	143	2014	0	RM
844	848	2017	0	
844	1141	2016	2016	
845	717	2020	0	VM
845	184	2012	2017	VM
845	753	2012	2017	VM
846	143	2014	0	R
846	848	2017	0	
846	1139	2018	0	
846	1140	2020	2020	
849	87	2013	2017	DL
850	2589	2022	2022	V
851	341	2015	0	
854	165	2014	0	DL
854	656	2020	2020	VDL
857	215	2012	0	VRD
857	269	2015	0	VRM
858	5	2008	0	VD
859	1438	2010	2010	
859	280	2016	0	V
859	860	2018	2018	
859	968	2020	2020	
859	1136	2020	0	
859	1143	2016	0	V
863	688	2020	0	
871	714	2016	0	V
871	955	2021	2021	
871	957	2017	2017	
871	985	2019	2019	
871	148	2016	0	V
871	150	2016	0	V
871	2992	2016	0	V
872	31	2016	0	VD
873	126	2013	2020	V
874	934	1996	2001	V
879	1172	2021	0	
880	134	2014	2021	VD
880	1140	2020	2020	
881	134	2014	2021	VRL
881	1265	2012	2021	
882	134	2014	2021	V
883	95	2015	2019	RDl
884	224	2010	2017	V
886	224	2010	2017	V
888	208	2015	0	V
889	134	2014	2021	VR
891	892	2018	2018	
894	4	2009	2017	V
899	901	2017	2017	
900	45	2015	2021	V
905	1607	2017	2017	
908	217	2014	0	VML
909	217	2014	2017	Vm
909	1065	2017	0	
921	171	2015	0	D
923	61	2011	0	
923	924	2018	2018	
923	373	2012	0	RDM
923	505	2019	0	RDM
926	927	2017	2017	
926	1045	2019	2019	
928	868	2010	2013	
928	930	2012	2012	
929	360	2012	0	V
929	930	2012	2012	
936	1268	2013	2013	
939	650	2016	0	
942	1256	2017	2017	
949	1131	2021	2021	
954	349	2004	0	
958	714	2016	0	VRD
958	150	2016	0	VRD
958	1016	2019	0	VD
958	526	2019	0	VRD
958	2843	2021	2021	VRL
962	985	2019	2019	
962	986	2017	2017	
963	283	2017	2019	RD
964	1244	2021	0	V
965	1284	2019	2019	
967	1363	2021	2021	
976	117	2007	2014	VRD
978	1150	2016	2016	VL
978	3	2008	2014	VL
980	1537	2011	2011	
991	9	2015	2016	VM
991	10	2016	2019	VM
996	11	2009	2019	VL
996	997	2014	2016	
996	153	2010	2018	VL
998	1385	2017	2017	
999	1088	2001	0	
1002	343	2006	2011	
1003	321	1999	0	VL
1004	224	2010	2017	VDM
1005	1181	2020	2020	
1006	11	2009	2012	VRDl
1007	5	2008	0	VD
1008	5	2008	0	VL
1013	173	1998	0	V
1014	67	2007	0	VL
1014	1019	2018	2018	
1017	80	2014	0	RD
1017	1456	2017	2017	
1018	341	2015	0	
1018	1019	2018	2018	
1020	1021	2021	0	
1030	292	2018	0	VRD
1033	80	2014	0	VDL
1033	1456	2017	2017	
1033	107	2012	0	VRD
1033	473	2019	0	VD
1040	2566	2020	0	V
1044	1045	2019	2019	
1057	1059	2021	2021	
1058	1059	2021	2021	
1058	1136	2020	0	
1058	1144	2019	0	
1058	1299	2021	0	
1058	1363	2021	2021	
1058	1380	2017	0	V
1058	280	2016	0	VDM
1060	22	2012	2018	Rl
1060	1063	2011	2011	
1061	22	2012	2019	VDM
1061	1365	2021	2021	
1062	22	2012	2018	RDm
1062	1063	2011	2011	
1071	1072	2021	0	
1077	2764	2014	0	
1080	1079	1997	0	
1080	1327	2021	2021	
1081	1082	2018	2018	
1081	1089	2016	2016	
1081	2566	2020	0	V
1083	1084	2018	2018	
1085	206	1995	0	V
1085	1287	2020	2021	
1087	342	2003	0	
1090	266	1997	0	VRL
1095	1094	1992	1996	
1102	452	2019	0	
1103	452	2019	0	
1107	374	1999	0	
1108	117	2007	2016	VL
1109	117	2007	2016	V
1110	117	2008	2014	Vm
1111	1112	2010	2010	
1115	1523	2006	2006	
1116	1118	2020	2020	
1117	54	2015	0	VI
1117	1118	2020	2020	
1117	1127	2020	2020	
1120	54	2015	0	VRI
1120	1197	2021	2021	
1124	113	2016	0	RD
1125	640	2019	0	RM
1126	1127	2020	2020	
1132	80	2014	0	VD
1132	473	2019	0	VDML
1133	96	2010	2017	RD
1133	97	2013	2017	RDM
1138	80	2014	0	R
1142	250	2017	2018	VD
1142	756	2020	0	VRDL
1142	280	2016	0	VDL
1142	1143	2016	0	V
1142	1144	2019	0	
1142	1394	2021	0	VRDL
1145	280	2016	0	V
1147	189	2005	2015	VD
1147	749	2008	2015	V
1147	1146	2007	2015	V
1147	191	2011	2015	V
1151	28	2006	0	VM
1152	214	2009	0	VL
1154	325	2016	0	
1156	171	2015	0	V
1156	1157	2018	2018	
1158	1347	2021	2021	
1161	395	2014	2021	
1161	274	2017	2018	VRDL
1162	746	2017	2019	
1165	890	2018	0	VDML
1165	1166	2021	2021	
1169	1171	2016	2016	
1170	1171	2016	2016	
1175	1327	2021	2021	
1175	1489	2021	2021	
1175	1490	2021	2021	
1175	2585	2022	0	
1176	55	2015	0	V
1176	295	2018	2018	V
1177	288	2017	2019	V
1179	1180	2021	0	
1190	173	1998	0	V
1196	764	2019	0	
1196	1197	2021	2021	
1199	1194	1988	0	
1209	217	2014	0	VRD
1215	662	2019	0	
1217	2566	2020	0	V
1218	1219	2019	0	
1241	229	2015	2021	VD
1249	1346	2021	2021	
1252	1253	2021	0	
1254	150	2016	0	VRD
1254	714	2016	0	VRD
1254	1255	2017	2017	
1254	1256	2017	2017	
1254	1257	2018	2018	
1254	149	2016	0	VRDL
1254	148	2016	0	VRD
1254	526	2019	0	VRDM
1259	272	2017	2018	
1259	685	2020	0	
1267	747	2013	2019	
1270	236	2013	0	VI
1273	1347	2021	2021	
1277	174	2010	2017	VM
1277	1278	2021	2021	
1283	1284	2019	2019	
1288	142	2010	2017	VL
1292	337	2018	2021	DL
1293	337	2018	2021	VR
1296	1298	2021	0	
1296	1299	2021	0	
1296	280	2016	0	RDM
1297	562	2019	2019	RD
1297	1298	2021	0	
1297	1299	2021	0	
1297	280	2016	0	RM
1305	171	2015	0	V
1309	152	2015	0	V
1309	1310	2021	2021	
1317	31	2016	0	RDM
1319	1320	2013	2013	
1322	1321	2011	2015	VR
1324	280	2016	0	V
1334	315	2016	0	
1335	1336	2013	0	
1341	54	2015	0	VIM
1342	595	2007	0	
1345	925	2018	0	
1349	337	2018	2021	V
1353	80	2014	0	V
1353	1404	2018	2018	
1354	189	2005	0	VRD
1354	190	2011	0	
1354	191	2008	0	VR
1357	1356	1996	0	VIL
1357	1362	2016	2016	
1358	1362	2016	2016	
1359	1361	2021	2021	
1359	1362	2016	2016	
1360	1361	2021	2021	
1364	177	2014	2021	V
1364	1365	2021	2021	
1366	189	2005	0	VRD
1366	190	2011	0	
1366	1442	2012	2012	
1366	749	2008	0	R
1366	1146	2007	0	R
1366	191	2011	0	R
1367	189	2005	0	RD
1367	749	2008	0	R
1367	1146	2007	0	R
1373	364	1998	2019	
1373	1372	2020	0	
1379	1380	2017	0	VM
1379	280	2016	0	V
1382	756	2020	0	VD
1382	20	2016	0	V
1383	1458	2022	2022	
1384	1385	2017	2017	
1393	80	2014	0	R
1395	1150	2016	2016	VRDM
1395	142	2010	2017	VRD
1397	620	2019	0	
1399	292	2018	0	V
1411	1412	2016	2016	
1413	1415	2021	2021	
1413	1490	2021	2021	
1413	1491	2022	0	
1414	1415	2021	2021	
1421	40	2013	0	V
1427	3	2008	2014	VR
1428	2	2012	2017	RD
1430	510	2012	2015	
1433	208	2015	0	VD
1436	37	2006	0	R
1436	1437	2016	2016	
1439	1440	2021	2021	
1441	64	2012	2016	VD
1441	61	2011	2014	VD
1441	1442	2012	2012	
1445	1447	2017	2017	
1445	171	2015	0	D
1446	1447	2017	2017	
1446	171	2015	0	D
1448	171	2015	0	R
1448	1449	2021	0	V
1450	171	2015	0	V
1453	34	2011	2019	V
1453	1452	2021	0	V
1457	1458	2022	2022	
1459	710	2021	0	VM
1460	710	2021	0	VD
1462	337	2018	2021	VRD
1463	20	2016	0	RDL
1463	1465	2022	0	RD
1464	20	2016	0	VRD
1464	1465	2022	0	VRDM
1467	290	2015	0	V
1468	134	2014	2021	VDM
1479	20	2016	0	VD
1479	1481	2020	0	VD
1480	20	2016	0	VM
1480	1481	2020	0	VM
1482	1484	2021	0	
1483	1484	2021	0	
1483	1485	2021	2021	
1487	632	2011	2017	VRM
1488	1489	2021	2021	
1488	779	2011	0	
1488	1490	2021	2021	
1488	1491	2022	0	
1495	40	2013	0	VRDM
1497	1511	2019	2019	
1509	359	2009	2013	
1513	1091	1999	2013	
1513	331	2013	0	R
1514	1515	2017	2017	
1516	208	2015	0	VL
1517	1074	2017	0	VL
1518	1074	2017	0	RM
1518	1519	2021	2021	
1520	1074	2017	0	R
1521	1522	2009	2009	
1521	1532	2011	0	
1521	1523	2006	2006	
1526	1525	1997	0	
1527	1525	1997	0	
1528	1531	1999	0	VI
1535	1537	2011	2011	
1539	3	2008	2014	V
1539	946	2011	0	
1541	26	2009	2016	VRL
1541	86	2017	0	
1545	208	2015	0	VD
1546	208	2015	0	V
1547	208	2015	0	RD
1548	208	2015	0	R
1549	208	2015	0	R
1550	208	2015	0	VD
1551	292	2018	0	V
1552	292	2018	0	VM
1553	280	2016	0	V
1553	1394	2021	0	VRD
1554	207	2003	2010	VR
1554	111	2010	2019	VR
1555	78	2007	2022	VR
1555	329	2017	0	V
1556	78	2007	2022	VRD
1558	87	2013	2017	VRM
1558	2670	2015	0	V
1559	87	2013	2017	R
1560	87	2013	2017	V
1560	413	2010	2012	VM
1561	413	2003	0	IL
1562	413	2003	0	I
1563	413	2003	0	I
1564	413	2003	0	I
1565	413	2012	2013	V
1566	710	2021	0	VL
1567	710	2021	0	VD
1568	710	2021	0	VD
1569	710	2021	0	VR
1570	710	2021	0	VD
1571	7	2009	2016	DL
1572	7	2009	2016	V
1572	6	2013	2013	VL
1573	7	2009	2016	VDM
1574	9	2010	2016	VL
1574	10	2016	2019	VL
1574	2590	2022	0	V
1575	9	2010	2016	RD
1576	9	2015	2016	RD
1576	10	2016	2019	RD
1576	147	2014	2014	VRDM
1577	9	2010	2014	VR
1578	9	2010	2014	RD
1579	9	2010	2016	V
1579	2591	2021	2021	V
1583	1582	2022	0	VL
1584	1582	2022	0	V
1585	1582	2022	0	R
1586	1582	2022	0	V
1587	1582	2022	0	VR
1588	1582	2022	0	V
1589	1582	2022	0	D
1590	1582	2022	0	D
1591	1582	2022	0	V
1592	1582	2022	0	RM
1593	1581	2022	0	
1594	1581	2022	0	
1595	1581	2022	0	
1596	1581	2022	0	
1597	1581	2022	0	
1598	1581	2022	0	
1599	1581	2022	0	
1600	1581	2022	0	M
1601	18	2011	0	VRDL
1602	18	2011	0	RD
1603	18	2011	0	VRD
1604	18	2011	0	VRM
1605	18	2011	2013	VR
1608	27	2013	2018	VDM
1609	27	2013	2018	VDM
1610	27	2013	2017	VD
1611	1	2012	2021	LV
1612	1	2012	2021	V
1613	1	2012	2021	VR
1614	1	2012	2021	VDM
1615	1	2012	2018	lVD
1616	2	2016	0	LDV
1617	2	2020	0	
1618	2	2018	0	V
1619	2	2019	0	V
1620	2	2019	0	DM
1621	2	2012	2013	V
1622	2	2012	2015	RD
1623	2	2012	2019	V
1624	2	2012	2019	lV
1625	2	2012	2019	V
1626	2	2015	2017	DVR
1627	1321	2011	2015	Vm
1628	2	2016	2019	VD
1629	5	2008	0	RV
1630	8	2011	2014	VL
1630	55	2015	2016	Vl
1631	8	2011	2014	VR
1632	8	2011	2014	RV
1633	8	2011	2014	V
1634	8	2011	2014	DV
1635	11	2009	2019	VDR
1635	153	2010	2018	VRD
1636	11	2012	2019	VDRM
1637	11	2011	2019	V
1638	11	2010	2018	RV
1638	153	2010	2018	VRDM
1639	11	2009	2017	DRV
1640	11	2009	2016	VDl
1641	11	2009	2015	V
1642	11	2009	2009	V
1643	11	2009	2011	VR
1644	14	2012	0	VR
1645	16	2012	0	VD
1645	17	2016	2021	VD
1646	16	2012	0	VD
1647	16	2012	0	DRVM
